18469,AC-258966-18,"This Final Project Meeting gathered participants in our two project seminar to reflect on the history and accomplishments of our project, with presentations by Dr. William Fulton and guest instructors who have been teaching courses created/revise/revived under the grant.","William Fulton, Hugo Fernandez, Rebecca Tally, Ana Maria Hernandez",October 2020,Zoom,,,,,Latin American Studies Final Reflections and Pig Roast
18512,CHA-261908-19,"Best Practices for Digital Scholarship is a 3-year session co-organized by Sarah Whitcher Kansa (AAI / Open Context) and Charles E. Jones (Pennsylvania State University Libraries) for the American Schools of Oriental Research (ASOR) annual meeting. Year 1 theme: Networking and publishing: navigating social media, conventional publishing, and digital dissemination services.","Sarah Whitcher Kansa, Charles E. Jones",November 2019,"San Diego, CA",,,,,Best Practices for Digital Scholarship (Year 1: Networking and publishing)
18560,HAA-261261-18,"Kerameikos.org is a collaborative project to define the intellectual concepts of ceramics studies according to the principles of Linked Open Data. Funded by the National Endowment for the Humanities, the project's scope is to create URIs for concepts within the scope of Archaic and Classical Athenian Greek pottery, including shapes, potters, painters, production places, techniques, styles, etc. Importantly, the project links to URIs defined in other thesauri, such as the Getty vocabularies, Wikidata, and Pleiades, thus forming a bridge between disparate information systems. As a proof of concept, Kerameikos.org intends to aggregate several thousand vases from numerous collections into a digital infrastructure that can facilitate geographic and distribution analyses. This aggregation model is based on the emerging Linked Art (https://linked.art/) JSON-LD profile of CIDOC-CRM, with archaeological extensions derived from specifications developed by ARIADNEplus. In this poster, we will discuss our activities up to this point and where we expect to go in the future.","Tyler Jo Smith, Ethan Gruber, Renee M. Gondek","December 4, 2020.",University of London and British Library (virtually),https://ics.sas.ac.uk/events/linked-pasts-6,"Institute of Classical Studies, University of London",,,Kerameikos.org: Current Progress and Future Plans
18562,HAA-261261-18,"Abstract added March 31, 2021: The focus of the proposed workshop would be on recent work that leverages digital tools in the study of classical antiquity and the itineraries of ancient objects. As participation in the Getty Institutes and other Digital Humanities-oriented working groups has only been available to a small number of digital practitioners, we aim to share a general overview of the work conducted at the meetings of the Digital Institutes, as well as contributions from scholars presenting a relevant short case study of their own work or thinking-in-progress. We are particularly interested in projects which address the ways that digital tools can help scholars better understand the provenance of ancient objects, as well as how this can be visualized and spatially oriented.Informal discussion of works in progress and discussions of problems of methodology are welcome, with the understanding that this is meant to be a constructive Forum for thinking through problems, rather than a formal academic presentation of any complete academic project. In addition to surveying the most recent advances in digital research relating to mapping, modeling, and analysis of ancient objects and spaces,  we hope to discuss  questions such as ""what should happen when a digital project is complete?"" and ""how can we plan for the future stewardship of digital projects - especially those with multiple authors?"" Although we might look towards examples of text-based projects as examples for best (and less-than-stellar) practice, the scope of the panel would be limited to tools developed to solve the particular problems posed by material culture of classical antiquity and charting its' past and future itineraries.The ultimate goal of the workshop is to open the work of small groups of DH practitioners to the larger archaeological community in order prevent research replication, as well as facilitate possible collaborations and a larger conversation about key issues in Digital Humani","Ethan Gruber, Renee M. Gondek, Tyler Jo Smith","January 4, 2020","Archaeological Institute of America annual meeting, Washington DC, 4 January 2020.",https://www.archaeological.org/programs/professionals/annual-meeting/,Archaeological Institute of America,,,"The Digital Futures of Ancient Objects: Discussing Next Steps for Collaborative Digital Humanities Projects, invited panel participant"
18563,HAA-261261-18,"This workshop seeks to demonstrate how advances in figure-decorated pottery studies can be applied pedagogically in ways that move beyond simple illustration. Participants, who come from a range of educational and instructional backgrounds, will briefly introduce each section using specific illustrated examples culled from their own teaching. These examples illustrate how figured pottery worksas a tangible and material bearer of meaning and how this can be utilized in the variety of learning situations.",Tyler Jo Smith,"January 4, 2020","Annual Meeting of the Society for Classical Studies, Washington DC",https://classicalstudies.org/annual-meeting/2020-annual-meeting,,,,"Pots and Pedagogy, invited panel participant for From Illustration to Context: Figure-Decorated Pottery in Pedagogical Settings"
18581,ES-267085-19,"The Cold War through the Collections of the Intrepid Museum  immersed  participating teachers in scholarly historical research as well as the history, artifacts and oral histories in the Intrepid Sea, Air &amp; Space Museum's collection that embody the Cold War era. Integrating content exploring the historical context of technological innovation, the Institute  served a national group of 25 teachers over two weeks in order to deepen their understanding and increase confidence in their ability to explore the subject thoroughly, critically and engagingly with their students.","Sher Levinsky-Raskin, Lynda Kennedy, Gerrie Hall",September 2019- August 2020,"Intrepid Sea, Air &amp; Space Museum Google Classroom and other digital tools",http://www.intrepidmuseum.org/cold-war-collections,"Website created for the recruitment of participants with program description as it stood in the pre-pandemic period, scholars and information on how to apply.",,,The Cold War through the Collections of the Intrepid Museum
18582,CHA-261908-19,"The second year of this session focuses on the challenges and approaches to integrating specialist data with excavation data. As specialist analysis often takes place at a different time and location than the excavation project, the data they produce can easily become ""siloed"". Speakers will include both specialists (zooarchaeology, plants, ceramics) and excavation directors in order to gain perspectives from excavation and post-excavation settings on the pitfalls of data silos and ways to avoid creating them.  (1) How do excavation directors incorporate specialist data into their project databases?  (2) What kinds of negotiations occur between directors and specialists to ensure that data are analyzed in a timely manner?  (3) What key information do specialists need from excavations in order to create meaningful data?  This session is in the format of a workshop in order to promote discussion among panelists and the audience.","Charles Jones (Penn State University) and Sarah Whitcher Kansa (AAI / Open Context), co-organizers",November 2020,American Schools of Oriental Research annual conference (online),,,,,Best Practices for Digital Scholarship (Year 2: Integrating Specialist Data with Excavation Data)
18654,ZH-252872-17,"The Young Appalachian Storytelling Summit is a youth-led event that focuses on a critical issue: how youth can use storytelling as a leadership tool to create Appalachia's future. Summit participants have the opportunity to hear from young, diverse voices within Appalachia; to understand how the arts of storytelling can help them take action in their own communities; and to join a network of like-minded young Appalachians to collaborate with beyond the event. The Summit focuses on the issues in Appalachia that attendees are passionate about and participants have the opportunity to customize one-of-a-kind agendas based on their own interests and experience.",,2018 - present,"Jonesborough, TN",https://www.storytellingcenter.net/initiatives/young-appalachian-story-summit/,,,,Young Appalachian Storytelling Summit
18686,CH-51244-15,"Article written by Eric Gold on WeLead, a youth program by Oregon Humanities to teach facilitation of difficult dialogue surrounding community issues.",Eric Gold,5/1/16-5/31/16,Portland,https://www.oregonhumanities.org/rll/beyond-the-margins/taking-the-lead/,Link to article on the Oregon Humanities page that talks about the WeLead program,,,WeLead: Youth Powered Conversations
18687,CH-51244-15,"Tyler White who attended WeLead as a youth and is now a facilitator for the Conversation Project, another of Oregon Humanities programs targetted at facilitating community dialogue surrounding difficult issues.",Ben Waterhouse,8/31/08,Portland,https://www.oregonhumanities.org/rll/magazine/turn/engaging-as-fellow-humans/,Article about a WeLead alum who became a Conversations Project facilitator. Shows that these two programs are active and working well together to create sustained humanities conversations. Ben Waterhouse is the Oregon Humanities staff member who wrote the article 8/31/21.,,,Oregon Humanities Conversation Project
18688,CH-51244-15,"Information on Oregon Humanities program, Bridging Oregon, which sought to bring together diverse audiences for conversation and understanding.",Jennifer Alkezweeny,2018-2019,Portland,http://oregonhumanities.org/programs/past/bridging-oregon-past/,Information from Oregon Humanities website on this program. It looks like it only ran for one year.,,,Bridging Oregon
18730,AE-269208-20,"Santa Fe College, in collaboration with other two-year institutions across the country who participate in Ethics Bowl, developed a unique model for the 2020 and Two-Year College Intercollegiate Ethics Bowl that successfully met the challenges of hosting a virtual competition.  SF's model incorporated both asynchronous and synchronous competition components that were designed to put competitors at ease in the virtual world and promote those aspects of Ethics Bowl that distinguish it from the traditional Speech and Debate model, namely, collegial and civil discourse.  It allowed teams to spend more time crafting their presentations through a critical, self-evaluative process that promoted deeper understanding of not only the cases, but also of team dynamics.  Although it was recognized that the asynchronous aspects of the proposed model took away some of the spontaneity inherent in the traditional face-to-face Ethics Bowl competition, participants agreed that the hybrid model for a virtual Ethics Bowl had pedagogical and technical advantages.  Going forward, it is a model worth considering, even in a post-Covid world, as it promotes outcomes difficult to achieve in a face-to-face environment, namely, greater participation (due to decreased cost) on the part of two-year colleges, as well as a heightened sense of community among two-year colleges across the country.","Ann Thebaut, Jason Frank, Greg Wright, John Garcia",10/16/2020 thru 11/21/2020,"virtually, via Zoom/hosted by Santa Fe College",https://drive.google.com/file/d/1iLwkN9UONUErDPLCMU4shSS1IrGesy3i/view?usp=sharing,,,,2020 Two--Year College Intercollegiate Ethics Bowl
18731,AB-269212-20,"This five-day workshop, held from August 3rd-7th, 2020, will serve as an intensive introduction to Digital Humanities and an opportunity to develop learning activities for new and existing classes. Faculty from Grambling and all regional universities are encouraged to apply to participate.",,"August 3rd-7th, 2020",Grambling State University (Virtual),,,,,Grambling State University Inaugural Digital Humanities Workshop
18776,HAA-271653-20,Presentation to the Government Documents Roundtable of the American Library Association: Friday Chat,Ryan Mattke,3/12/2021,Virtual,http://www.ala.org/rt/godort,,,,Mapping Prejudice + Q&amp;Q
18777,HAA-271653-20,Veterans Administration research lunchtime gathering,Kirsten Delegard,2/25/2021,Virtual,https://www.minneapolis.va.gov/,,,,Research Share
18778,HAA-271653-20,Presentation to Medtronic group,Kevin Ehrman-Solberg,3/16/2021,Virtual,https://www.medtronic.com/us-en/index.html,,,,Mapping Prejudice
18779,HAA-271653-20,Presentation to Michigan State Digital Humanities seminar class.,Ryan Mattke,3/17/2021,Virtual,,,,,Mapping Prejudice
18782,HAA-271653-20,"Public History class, led by Michael Lansing, Augsburg University",Kirsten Delegard,3/29/2021,Virtual,https://www.augsburg.edu/,,,,Mapping Prejudice + conversation
18783,HAA-271653-20,UMN Chemistry Department Social Justice Lecture,Kevin Ehrman-Solberg,3/29/2021,Virtual,https://cse.umn.edu/chem,,,,Mapping Prejudice
18784,HAA-271653-20,Presentation to Sensible Land Development group,"Maria Cisneros, Kirsten Delegard",3/31/2021,Virtual,https://sensibleland.org/,,,,Mapping Prejudice + Just Deeds
18959,FEL-268212-20,"Water: a reflection, a surface, a substance, and a movement. A boundary that eludes, precludes and shapes form and life itself.  A vessel that shapes its surroundings and where vessels float, feed, and folly. This live panel shares multimedia poetic experiments in conducting an ethnography with a river, specifically with the Silver River in North Central Florida where Asian monkeys, mastodons, Black Seminoles, self-identified rednecks in motorboats, Northern conservationists in kayaks, tourists in glass bottom boats, Tarzan movies, fungi, Paradise Park (the Blacks only beach during segregation), manatees and alligators (from prehistoric times), migratory birds, algae,  and conceptions of humaNature relationships collide as fragmented facets of the Silver River's identity.  Meryl Shriver-Rice's masters of Environment, Culture and Media program's course called Nature, the Anthropocene and Visual Anthropology (University of Miami) is the milieu for this artistic-scholastic engagement with representations of lifeworlds, culturally specific experiences, and the policies that shape and are shaped by these meshworks. Students are guided by Amanda Concha-Holmes' pioneering work with Evocative Ethnography to integrate videos, texts, soundscapes, images, graphics, sensorial experiences, and poetry to interpret some of the layers of cultural and ecological history through a decolonial, feminist theoretical and  methodological lens that examines the Silver River's entangled prehistorical, historical, and contemporary entanglements of environmental concepts, conservation policies, diverse peoples, animals and plants, climate changes, multispecies perspectives, and the meaning for being, belonging and becoming in Florida, and the world.   This 90-minute panel will feature multimedia presentations accompanied by the artivists who made them for a discussion on decolonization, embodied transformation, healing, and learning.","Concha-Holmes, Amanda, Shriver-Rice, Meryl",12-14 March 2021,Zoom Anthropology of Consciousness meeting,,,,,"Evocative Ethnographies of Florida’s Silver River: Biodiversity, Boundaries, Life Experiences"
18961,FEL-268212-20,"The confluence of two racialized pandemics—COVID-19 and anti-Black police violence—has shaken the mainstream in the Americas from a post-racial slumber. This interview discussion positions a feminist ethnographic lens on the frontlines of these epidemics to explore how Black communities in Argentina, Brazil, Peru, and the U.S. South are mobilizing against historically rooted racialized and gendered injustices and receiving unprecedented public attention. The interlocutors we work with and we ourselves are renegade women in anthropology: women who conduct research on the frontlines to support Black lives, organize communities, and provide healthcare without financial and professional security. Our allyship with Black communities manifests in diverse ways. In Brazil, we fund and assemble packages with essential supplies for Black women-headed households who are battling COVID-19 while protecting their children from anti-Black police violence. In Peru, we support Black women who are faced with the choice of exposing themselves to the virus or going without food, income, or protection against violence in the home. We are deeply intertwined with Black communities in Argentina who are being denied access to the legal system. From the heart of the U.S. South, we are uncovering historical legacies of injustices and social movements while using art and technology to design a future otherwise. We are immersed in an anthropology that merges the professional with the personal; together we contribute to a conversation of what renegade women in anthropology means in times of global crisis.","Concha-Holmes, Amanda, Anderson, Judy, Main, Meredith, Lewis, Eshe",November 2020,Zoom AAA (Association of American Anthropologists) conference,,,,,Renegade Women in Anthropology at the End of the World
18967,ZH-252981-17,"A workshop and showcase featuring the work of student and professional Black and Latino playwrights, conducted by professional guest directors and artists.","Messiah Hagood-Barnes, Ruben Gonzalez, Eugene Lee, Richard Wesley","September 3-9, 2018","San Marcos, Texas",,,,,2018 Black and Latino Playwrights Conference
19028,RZ-255623-17,"In this webinar, Dr. Buikstra will first define bioarchaeology, the archaeological science approach taken to investigate the lives of those buried in the Phaleron cemetery. Excavated between 2012–2015 by the Ephorate of Piraeus and Islands under the direction of Dr. Stella Chryssoulaki, the Phaleron cemetery brought to light thousands of burials during the construction of the Stavros Niarchos Foundation Cultural Center. Dr. Buikstra will consider the Phaleron historical and archaeological contexts as well as up-to-date results of the Phaleron Bioarchaeological Project, a collaborative undertaking between the Malcolm H. Wiener Laboratory for Archaeological Sciences of the American School of Classical Studies at Athens, Arizona State University, and the Ephorate of Piraeus and Islands. To close, Dr. Buikstra will introduce viewers to a few of the people who had been interred in the Phaleron cemetery, providing insight into the past lives of Greece.","Buikstra, J. E.",6/16/2020,"Webinar, American School of Classical Studies at Athens",https://www.ascsa.edu.gr/news/newsDetails/webinar-the-birth-of-democracy-in-ancient-athens-live-from-the-lab,,,,The Birth of Democracy in Ancient Athens: A Bioarchaeological Perspective
19036,ZH-258466-18,"Come listen to students present compelling talks about literature, film, and philosophy.",,"October 11, 2018",University of West Georgia Campus Center,,,,,2018 Undergraduate Research Conference and LURe Release
19037,ZH-258466-18,"Come listen to students present compelling talks about literature, film, and philosophy.",,"October 24, 2019",University of West Georgia Campus Center,,,,,2019 Undergraduate Research Conference and LURe Release
19128,PW-259055-18,"The Language of Flowers genre is at the intersection of botany, horticulture, natural history, art, poetry, and women's studies. This 19th-century popular literary trend presented the world of botany through dictionaries of flowers and associated meanings, and floral poetry and prose, offering a sentimental view of natural history. A properly arranged bouquet was said to convey a ""secret message"" for the recipient. The ""social media"" of its day, this Victorian literary fad, led to many editions of works being published, with multiple titles by successful authors.","Leora Siegel, Stacy Stoldt, Brent Elliott, Ann Shteir",4/30/2021,"Virtual, Zoom webinar, recorded and uploaded to YouTube",https://youtu.be/2lrEivFkeS8,Link to YouTube for the Language of Flowers virtual symposium presented by the Lenhardt Library of the Chicago Botanic Garden.,https://blog.biodiversitylibrary.org/2021/04/language-of-flowers-virtual-symposium.html,Biodiversity Heritage Library registration webpage for the Language of Flowers virtual symposium presented by the Lenhardt Library of the Chicago Botanic Garden.,Language of Flowers Virtual Symposium
19132,RZ-230579-15,"This symposium presents the results of the NEH-sponsored collaborative research project centered on the region in the ancient Greek Sanctuary of the Great Gods that coalesces around the famous Winged Victory (Nike) of Samothrace. While the statue in the Louvre has long captured the imagination of the world, it becomes all the more powerful when reunited with its ancient environment. From the Nike's vantage over the performative heart of the Sanctuary—Theater, Stoa, and Altar Court—we reframe the archaeological investigation of this Hellenistic international religious center by grounding the rich material record in the dynamic environmental factors underlying it, and the human actions through which it was determined and experienced.","B. D. Wescoat, L. Laugier, M. Glennon, A. Laftsidis, A. Farinholt Ward, W. Size, S. Holzman, C. Seidler, S. L. Blevins, D. Matsas, C. Karadima, M. L. Popkin, J. Paga, A. S. Koch, E. Archie, I. Burr, A. Basu, M. C. Page",04/15/2021-04/16/2021,"Atlanta, GA",https://carlos.emory.edu/laszlo-excalibur-lecture-and-day-1-samothrace-symposium,,https://carlos.emory.edu/day-2-samothrace-symposium,,From the Vantage of the Victory: The Sanctuary of the Great Gods and Island of Samothrace
19185,PW-264144-19,"A kickoff event for the TARO 2.0 remediation project - attended by over 60 people, mainly staff at TARO member repositories, with audience polls and Q&amp;A participation",,"March 12, 2021",,,,,,TARO 2.0 Kickoff
19196,RQ-266229-19,"This workshop will be devoted to introducing and discussing a number of current edition and commentary projects in new and existing Dead Sea Scrolls series, as well as new text-edition initiatives, including digital and open-access editions. Of special interest will be theory and methods of translation and producing new textual editions in a dynamic, multimedia environment.  Esther Chazon, Hebrew University of Jerusalem, Presiding  Timothy Lim, University of Edinburgh, Panelist   Molly Zahn, University of Kansas - Lawrence, Panelist   Charlotte Hempel, University of Birmingham, Panelist   Bronson Brown-deVost, Georg-August-Universität Göttingen, Panelist   Alison Schofield, University of Denver, Panelist   Roundtable Discussion","Alison Schofield, Timothy Lim, Molly Zahn, Charlotte Hempel, Bronson Brown-deVos, Esther Chazon",12/02/20,online (virtual),http://https://www.sbl-site.org/meetings/Congresses Abstracts.aspx?MeetingId=37,Society of Biblical Literature 2020 annual virtual congress (international),,,"New Commentaries, New Editions: Current Trends in Scholarship on the Dead Sea Scrolls"
19267,RZ-230579-15,"This colloquium presents research centered on the region in the Sanctuary of the Great Gods at Samothrace that coalesces around the famous Nike of Samothrace, which has long captured the imagination of the world. From the Nike's vantage over the performative heart of the Sanctuary—the theater, stoa, and Altar Court—we reframe the archaeological investigation of this Hellenistic international religious center by grounding the rich material record in the dynamic environmental factors underlying it, and the human actions through which it was determined and experienced. The colloquium presents a cross-section of dynamic new research stemming from archaeological investigation, 3D modeling and digital reconstruction, and meticulous examination of previously excavated but heretofore unexamined small finds. Collectively, the papers demonstrate the significance of Samothrace as a locus where local and international ambition and patronage met with innovative results, and where landscape and human interaction are integrally interwoven.","B. D. Wescoat, M. L. Popkin, A. Farinholt Ward, J. Paga, M. Glennon, V. Baillet, L. Laugier, A. Laftsidis, S. Holzman, A. S. Koch, C. Seidler, S. L. Blevins",01/08/2021,"Annual Meeting of the Archaeological Institute of America, Chicago, IL (webinar)",,,,,From the Vantage of the Victory: Recent Work in the Sanctuary of the Great Gods at Samothrace
20899,FEL-267541-20,Seminar on Writing Black Women's Biography co-created and led by Author and funded by the Radcliffe Institute for Advanced Study at Harvard University,Ashley D. Farmer,October 2021,,,,,,Writing and Publishing Black Women’s Biography in the Black Lives Matter Era.
19347,PW-264086-19,"This panel will explore practical and philosophical issues related to the cataloguing, care, and interpretation of objects with animal-sourced components, particularly elephant and marine ivories, tortoise shell, and horn. Historic arts incorporating these materials, as well as contemporary jewelry and craft, pose challenges for museum professionals from basic species identification to interpretive contexts. This session will focus on questions such as: What is involved in being responsible stewards of these materials? What are some risks in accepting gifts of animal organics or actively collecting them (and their modern imitations)? How do animal-sourced materials open opportunities for dialogue with audiences? Our goal is to offer a primer or framework for recognizing the under-appreciated contributions animals have made to art and historical museum collections.  Target audience:  museum curators, collection managers, exhibition planners, emerging professionals  Presenters: Lara Kaplan, Katie Lagarde, and Ann Wagner","Janice Klein, Ann Wagner, Lara Kaplan, Katie Lagarde",October 2020,Mid-Atlantic Museums Association Annual Meeting Conference 2020 (webinar),http://midatlanticmuseums.org/annual-meeting/maam2020/,,,,"Do Museums Need Objects? Session:  Ivory, Horn &amp; Tortoiseshell: Challenges and Opportunities"
19389,FEL-262740-19,"In a previous article on theories of the sounding voice in China, I argued that it is only at specific historical moments, in certain kinds of discourse, and for certain kinds of purposes that the human voice is disentangled from a matrix of undifferentiated sound, often by likening the voice to other musical instruments and valorizing it above them.  In this talk, I will discuss how the rise of Kun opera (kunqu) in the sixteenth century is another such moment, when the singing voice is explicitly theorized and championed as part of a new art form emphasizing vocal virtuosity and connoisseurship within the entertainment world. To analyze the aesthetic categories and performative context of this musical discourse, I will concentrate on the writings of two key figures: Precepts of the Aria (Qulü), attributed to Wei Liangfu, the shadowy ""forefather"" of the Kun operatic style, and the personal essays of Pan Zhiheng (1556-1622), who earned the moniker ""Venerable Chronicler of Courtesans."" Pan is the most outspoken late Ming proponent for the preeminence of the human voice, for exalting an ideal of the voice (both in the most abstract and concrete ways), as something exceeding the words, something even exceeding the music, something even beyond the fusion of text and music. In the final part I will consider the larger implications of conceptualizing the voice as ""flesh,"" both in terms of late Ming claims for the power of qing (love, desire) and anthropologist Tim Ingold's suggestion that we think of ""the body ensounded"" rather than ""sound as embodied.""",judith Zeitlin,11/30/20,"Institute for Advanced Study, Princeton",,,,,‘Instrument of Flesh’: The operatic voice in late Ming and early Qing musical culture
19542,FS-272471-20,"Seminar participants are meeting to plan conferences, symposia, conference panels, and other collaborative products.",,TBD,Kean University is in the process of hosting a conference,,A website is under construction.,,,Post-seminar online meetings with participants
19562,PW-264041-19,"A special 90-minute presentation to introduce the portal, Rhizomes of Mexican American Art Since 1848, to the current fellows of the Latino Museum Studies Program, Smithsonian Latino Center. Fellows are graduate students interested in the museum, libraries, and archive professions, and the portal will assist in diversifying their knowledge about the cultural wealth of the nation.","Cortez, Constance, Davalos, Karen Mary",07/30/2021,Virtual meeting with participants from all regions of the nation.,,,,,Rhizomes of Mexican American Art Since 1848: &#x0B;a doorway to new research and innovation
19616,RZ-249965-16,"While some scholars still argue for a stark decline in the appearance and quality of urban life in late antiquity and the early middle ages, others have opted for a softer model of ""transition"". With this paper, through a contextualized approach, I hope to demonstrate the value of moving beyond these paradigms. Since 2014, I have excavated the coastal town site of Salapia in Apulia. The complexity of its archaeological deposits and the continued persistence of activity across different phases, has made me ever more intrigued by not just how these changes were brought about from the mid-4th to late 7th c. CE, but their impact on the community living there. As a site where we have yet to reveal any monuments, the ""unremarkable"" and ""everyday"" spaces encourage and require reconstructing patterns of daily activities to access urban experience. Even a diocese with named bishops and continued connection to the Mediterranean trading network in late antiquity did not halt the slow degradation of the urban fabric at Salapia; nor did the degradation chase away all inhabitants in a single moment. By engaging with theories of industrial ruination (Mah 2012), the material world –the slow undoing of the urban fabric itself –is foregrounded a fundamental part of the social conversation that made and remade the community at Salapia over time.     Every town is the sum of its material signature and the humans that engage and interact in and with its fabric. Nonetheless, comparing the spatial and artifactual remains from Salapia to those of other urban centers in southern Italy (Herdonia and Egnathia) better contextualizes the material choices the inhabitants made in negotiating changes that were local in character, as well as their responses to broader shifts in the Adriatic and Mediterranean ambits. Detailing this progressive decline matters because it is the making of Salapia's local history. So, too, the changes to the community there would have affected the region as a whole.","Totten, Darian Marie",February 2021,"University of Toronto, Department of Classics",,,,,Daily life in the shadow of late antique ‘decline’: urban case studies from Apulia
19693,HAA-266457-19,"The Library Circulation Histories Workshop featured presentations and comments by 25 scholars engaged or interested in research that employs historical circulation data from libraries.  It included scholars from the U.S., Canada, the U.K. and Australia.  Presenters discussed projects examining library use and reading in the U.S., U.K., and Australia and covering the period from the 18th century to the recent past.",James J. Connolly,"April 19-May 1, 2021.","Ball State University, Muncie, IN, USA",https://lchw.bsudsl.org/,"Library Circulation Histories Workshop website, including video presentations and discussion.",https://lib.bsu.edu/wmr/,The What Middletown Read database.,Library Circulation Histories Workshop (and website)
19725,PW-269299-20,"Papers for the People: A Symposium on the Dime Novel featured panel discussions with notable and upcoming dime novel scholars. These conversations focused on how dime novels can be used in the classroom and offered regional educators, academics, and students at the graduate and undergraduate level the opportunity to learn about and discuss dime novels directly with experts in the field.","Matthew Short, Demian Katz",2020-11-04 to 2020-11-05,Zoom,https://dimenovels.lib.niu.edu/papers-for-the-people,Symposium announcement and list of participants.,https://www.youtube.com/watch?v=jD7ltOGjCXc&amp;list=PLFimZNT99GExI6-NTeSLo-FK5t1uuJsqx,Symposium recordings.,Papers for the People: A Dime Novel Symposium
19751,AKB-260507-18,"This panel features new work by historians engaging with the history of New York City's famed Garment District from a range of different perspectives.  Kyunghee Pyun and Daniel Levinson Wilk will describe the new curriculum they have developed to bring this industry's labor and business history to students with prospective careers in New York's fashion industry.  Andy Battle describes the efforts of New York City's International Ladies Garment Workers Union to counter the threat of deindustrialization and links the outcome of that struggle to larger social, economic and political forces at work in the post-World War II era.  Catherine Rios focuses on the history of labor racketeering in New York's Garment District and the political cost that resulted as some elements of the labor movement were forced to make accommodations with organized crime.","Daniel Levinson Wilk, Kyunghee Pyun, Andy Battle, Catherine Rios, David Witwer, Kim Phillips-Fein","May 26-28, 2021",Virtual,https://www.lawcha.org/wp-content/uploads/LAWCHA 2021%20Conference program.pdf,,,,"Gangsters, Deindustrialization and Labor History for the Fashion Industry: Perspectives on New York City’s Garment District. The Labor and Working-Class History Association Annual Conference 2021, Chicago, 26–28 May, 2021"
19752,AKB-260507-18,Four FIT professors presented how to teach business and labor history in relation to art and design disciplines.   Eric Daniels Design Thinking and the Business of Disruption  Daniel Levinson Wilk Performing the Triangle Shirtwaist Factory Fire  Kyunghee Pyun Teaching Business History in Art Collecting: Industrialists of Fossil Fuels and Big Pharma  Karen Trivette Voices of Fashion Industry Decision-makers: The Oral History Program at the Fashion Institute of Technology-State University of New York,"Daniel Levinson Wilk, Kyunghee Pyun, Karen Trivette, Eric Daniels",11–13 March 2021,Virtual,https://thebhc.org/,The organization's website,https://thebhc.org/meeting-program/19730,The 2021 conference program,"Teaching Business History to Artists and Designers: Four Case Studies. 2021 Business History Conference Annual Meeting (theme: Business History: Building for the Future), 11–13 March 2021"
19813,AH-274009-20,"Reginald Dwayne Betts in conversation wtih Major Jackson on why reading and writing matter and the ways in which teachers can bring literature alive for students. As part of this session, Major Jackson reads his poem entitled ""Let Me Begin Again"" and Dwayne Betts reflects on his poem, ""In Alabama.""",,10/7/21,,https://teaglefoundation.org/Resources/How-and-Why-I-Teach/Resources/Teaching-with-Transformative-Texts-(Session-1),,,,Teaching with Transformative Texts (Session I)
19863,FEL-267222-20,"I presented my work at the seminar of the Graduate Institute of Geneva (IHEID), a workshop entitled Reckonings &amp; Revisions.",Jacob Blanc,03/19/2020,"Geneva, Switzerland",,,,,Invited Presentation at IHEID seminar
19864,FEL-267222-20,I was invited to present my work to the Grupo de Pesquisa História dos Sertões at the Federal University of Rio Grande do Norte in Brazil.,Jacob Blanc,12/11/2020,"Rio Grande do Norte, Brazil",,,,,Invited presentation to the Grupo de Pesquisa História dos Sertões/UFRN
19937,FT-278865-21,"Seminar: Música(s) y Sociedad(es) en los siglos XVI y XVII  •Limpieza de sangre como noción de diferenciación étnica y religiosa  •Las dos repúblicas (indios y españoles) •La presencia africana •Prácticas y registros musicales en el ámbito rural y urbano oEtnografía musical oArchivo parroquial (a menos de que de ésto hable alguien más, aunque creo que solo profundizaría en el primer punto) oArchivo catedralicio (sólo lo mencionaré, pero no profundizaré hacienda referencia a la plática dedicada al mismo) oArchivo inquisitorial  Profundizaré más sobre los siguientes tres puntos: oLa cristianización del canto y baile nahua y los cancioneros en náhuatl oConvención literaria y musical en la representación de distintos grupos sociales en los villancicos y noción de limpieza de sangre. oRastros de practices musicales de las sociedades africanas y la adaptación de danzas en manuales para guitarra.",Ireri Chávez Bárcenas,08/13/2021,"Seminario 500 años de música en México, Universidad Nacional Autónoma de México (Seminar over Zoom)",,,,,“Música(s) y Sociedad(es) en la Nueva España en los siglos XVI y XVII.”
19945,ZR-256755-18,"VMM and MIGIZI hosted a Train the Trainers: Native Youth Media Summit for instructors that sought to provide Native youth with the skills and tools necessary to harness the power of media for Native-driven storytelling and narrative empowerment. Training took place October 12-13, with 11 trainers in attendance.  Stats from summit: 44% Increase in student confidence coordinating a native youth media training program 34% Increase in student confidence to instruct on form and content of videos 29% Increase in student confidence to instruct on the filmmaking process Participant Comments: ""I was able to consider possible opportunities to improve our school districts media program."" ""The guidebook is incredible. I loved seeing other people's work."" ""I was able to see and hear about other projects throughout the country which gave me ideas on what to do with my students."" ""Training exceeded expectations.""","John Gwinn, Migizi Communications Inc., Binesikwe Means, Migizi Communications Inc., Tiana LaPointe, InProgress.org, Philip A. Sanchez, Blurred Media, Shirley Sneve, Vision Maker Media, Alana Stone, Vision Maker Media","October 12-13, 2019","Minneapolis, MN",,,,,Train the Trainers: Native Youth Media Summit
